User: Horatio
 Sample name: JT029_SrRuO3_171024
 Remarks: First proper test with optimised program. 
 Dataset from date: Thursday, October 17, 2024 2:28 PM 
 
Temp	 Field	 Source (A)	 Source (V)	 Sense (V)	 
 
4.9985 	 -0.199797 	 -1E-5 	 -0.0118 	 -9.594898E-6 	 0 	 0 	 
4.9985 	 -0.199797 	 -1E-5 	 -0.0118 	 0.000112 	 1 	 0 	 
4.9985 	 -0.199797 	 -1E-5 	 -0.0118 	 -0.000673 	 2 	 0 	 
4.9985 	 -0.199797 	 -1E-5 	 -0.0118 	 -0.000667 	 3 	 0 	 
4.9985 	 -0.199797 	 -1E-5 	 -0.0118 	 -0.000541 	 4 	 0 	 
4.9985 	 -0.199797 	 -1E-5 	 -0.0118 	 -0.000797 	 5 	 0 	 
4.9985 	 -0.199797 	 -5E-6 	 -0.0059 	 -7.218717E-6 	 0 	 0 	 
4.9985 	 -0.199797 	 -5E-6 	 -0.0059 	 0.00012 	 1 	 0 	 
4.9985 	 -0.199797 	 -5E-6 	 -0.0059 	 -0.000339 	 2 	 0 	 
4.9985 	 -0.199797 	 -5E-6 	 -0.0059 	 -0.000335 	 3 	 0 	 
4.9985 	 -0.199797 	 -5E-6 	 -0.0059 	 -0.000206 	 4 	 0 	 
4.9985 	 -0.199797 	 -5E-6 	 -0.0059 	 -0.000465 	 5 	 0 	 
4.9985 	 -0.199797 	 0 	 -1E-5 	 -4.400195E-6 	 0 	 0 	 
4.9985 	 -0.199797 	 0 	 -1E-5 	 0.000128 	 1 	 0 	 
4.9985 	 -0.199797 	 0 	 -1E-5 	 -4.296366E-6 	 2 	 0 	 
4.9985 	 -0.199797 	 0 	 -1E-5 	 -3.339725E-6 	 3 	 0 	 
4.9985 	 -0.199797 	 0 	 -1E-5 	 0.000129 	 4 	 0 	 
4.9985 	 -0.199797 	 0 	 -1E-5 	 -0.000134 	 5 	 0 	 
4.9985 	 -0.199797 	 5E-6 	 0.0059 	 -2.173516E-6 	 0 	 0 	 
4.9985 	 -0.199797 	 5E-6 	 0.0059 	 0.000136 	 1 	 0 	 
4.9985 	 -0.199797 	 5E-6 	 0.0059 	 0.00033 	 2 	 0 	 
